count,linear_cost
0,0
1,0.0008116883
2,0.0016233766
3,0.0024350649
4,0.0032467532
5,0.0040584416
6,0.0048701297
7,0.0056818184
8,0.0064935065
9,0.0073051946
10,0.008116883
11,0.008928572
12,0.0097402595
13,0.010551948
14,0.011363637
15,0.012175324
16,0.012987013
17,0.013798702
18,0.014610389
19,0.015422078
20,0.016233766
21,0.017045455
22,0.017857144
23,0.01866883
24,0.019480519
25,0.020292208
26,0.021103896
27,0.021915585
28,0.022727273
29,0.02353896
30,0.024350649
31,0.025162337
32,0.025974026
33,0.026785715
34,0.027597403
35,0.028409092
36,0.029220778
37,0.030032467
38,0.030844156
39,0.031655844
40,0.032467533
41,0.03327922
42,0.03409091
43,0.0349026
44,0.035714287
45,0.036525972
46,0.03733766
47,0.03814935
48,0.038961038
49,0.039772727
50,0.040584415
51,0.041396104
52,0.042207792
53,0.04301948
54,0.04383117
55,0.04464286
56,0.045454547
57,0.046266235
58,0.04707792
59,0.04788961
60,0.048701297
61,0.049512986
62,0.050324675
63,0.051136363
64,0.051948052
65,0.05275974
66,0.05357143
67,0.054383118
68,0.055194806
69,0.056006495
70,0.056818184
71,0.05762987
72,0.058441557
73,0.059253246
74,0.060064934
75,0.060876623
76,0.06168831
77,0.0625
78,0.06331169
79,0.06412338
80,0.064935066
81,0.065746754
82,0.06655844
83,0.06737013
84,0.06818182
85,0.06899351
86,0.0698052
87,0.070616886
88,0.071428575
89,0.07224026
90,0.073051944
91,0.07386363
92,0.07467532
93,0.07548701
94,0.0762987
95,0.07711039
96,0.077922076
97,0.078733765
98,0.07954545
99,0.08035714
100,0.08116883
101,0.08198052
102,0.08279221
103,0.083603896
104,0.084415585
105,0.08522727
106,0.08603896
107,0.08685065
108,0.08766234
109,0.08847403
110,0.08928572
111,0.090097405
112,0.09090909
113,0.09172078
114,0.09253247
115,0.09334416
116,0.09415584
117,0.09496753
118,0.09577922
119,0.09659091
120,0.097402595
121,0.09821428
122,0.09902597
123,0.09983766
124,0.10064935
125,0.10146104
126,0.10227273
127,0.103084415
128,0.103896104
129,0.10470779
130,0.10551948
131,0.10633117
132,0.10714286
133,0.10795455
134,0.108766235
135,0.109577924
136,0.11038961
137,0.1112013
138,0.11201299
139,0.11282468
140,0.11363637
141,0.114448056
142,0.11525974
143,0.116071425
144,0.116883114
145,0.1176948
146,0.11850649
147,0.11931818
148,0.12012987
149,0.12094156
150,0.121753246
151,0.122564934
152,0.12337662
153,0.12418831
154,0.125
155,0.12581168
156,0.12662338
157,0.12743506
158,0.12824675
159,0.12905844
160,0.12987013
161,0.13068181
162,0.13149351
163,0.13230519
164,0.13311689
165,0.13392857
166,0.13474026
167,0.13555194
168,0.13636364
169,0.13717532
170,0.13798702
171,0.1387987
172,0.1396104
173,0.14042208
174,0.14123377
175,0.14204545
176,0.14285715
177,0.14366883
178,0.14448053
179,0.14529221
180,0.14610389
181,0.14691558
182,0.14772727
183,0.14853896
184,0.14935064
185,0.15016234
186,0.15097402
187,0.15178572
188,0.1525974
189,0.1534091
190,0.15422077
191,0.15503247
192,0.15584415
193,0.15665585
194,0.15746753
195,0.15827923
196,0.1590909
197,0.1599026
198,0.16071428
199,0.16152598
200,0.16233766
201,0.16314936
202,0.16396104
203,0.16477273
204,0.16558442
205,0.16639611
206,0.16720779
207,0.16801947
208,0.16883117
209,0.16964285
210,0.17045455
211,0.17126623
212,0.17207792
213,0.1728896
214,0.1737013
215,0.17451298
216,0.17532468
217,0.17613636
218,0.17694806
219,0.17775974
220,0.17857143
