count,two_step_cost
0,0
1,0.25
2,0.25
3,0.25
4,0.25
5,0.25
6,0.25
7,0.25
8,0.25
9,0.25
10,0.25
11,0.25
12,0.25
13,0.25
14,0.25
15,0.25
16,0.25
17,0.25
18,0.25
19,0.25
20,0.25
21,0.25
22,0.25
23,0.25
24,0.25
25,0.25
26,0.25
27,0.25
28,0.25
29,0.25
30,0.25
31,0.25
32,0.25
33,0.25
34,0.25
35,0.25
36,0.25
37,0.25
38,0.25
39,0.25
40,0.25
41,0.25
42,0.25
43,0.25
44,0.25
45,0.25
46,0.25
47,0.25
48,0.25
49,0.25
50,0.25
51,0.25
52,0.25
53,0.25
54,0.25
55,0.25
56,0.25
57,0.25
58,0.25
59,0.25
60,0.25
61,0.25
62,0.25
63,0.25
64,0.25
65,0.25
66,0.25
67,0.25
68,0.25
69,0.25
70,0.25
71,0.25
72,0.25
73,0.25
74,0.25
75,0.25
76,0.25
77,0.25
78,0.25
79,0.25
80,0.25
81,0.25
82,0.25
83,0.25
84,0.25
85,0.25
86,0.25
87,0.25
88,0.25
89,0.25
90,0.25
91,0.25
92,0.25
93,0.25
94,0.25
95,0.25
96,0.25
97,0.25
98,0.25
99,0.25
100,0.25
101,0.25
102,0.25
103,0.25
104,0.25
105,0.25
106,0.25
107,0.25
108,0.25
109,0.25
110,0.25
111,0.25
112,0.25
113,0.25
114,0.25
115,0.25
116,0.25
117,0.25
118,0.25
119,0.25
120,0.25
121,0.25
122,0.25
123,0.25
124,0.25
125,0.25
126,0.25
127,0.25
128,0.25
129,0.25
130,0.25
131,0.25
132,0.25
133,0.25
134,0.25
135,0.25
136,0.25
137,0.25
138,0.25
139,0.25
140,0.25
141,0.25
142,0.25
143,0.25
144,0.25
145,0.25
146,0.25
147,0.25
148,0.25
149,0.25
150,0.25
151,0.25
152,0.25
153,0.25
154,0.25
155,0.25
156,0.25
157,0.25
158,0.25
159,0.25
160,0.25
161,0.25
162,0.25
163,0.25
164,0.25
165,0.25
166,0.25
167,0.25
168,0.25
169,0.25
170,0.25
171,0.25
172,0.25
173,0.25
174,0.25
175,0.25
176,0.25
177,0.25
178,0.25
179,0.25
180,0.25
181,0.25
182,0.25
183,0.25
184,0.25
185,0.25
186,0.25
187,0.25
188,0.25
189,0.25
190,0.25
191,0.25
192,0.25
193,0.25
194,0.25
195,0.25
196,0.25
197,0.25
198,0.25
199,0.25
200,0.25
201,0.25
202,0.25
203,0.25
204,0.25
205,0.25
206,0.25
207,0.25
208,0.25
209,0.25
210,0.25
211,0.25
212,0.25
213,0.25
214,0.25
215,0.25
216,0.25
217,0.25
218,0.25
219,0.25
220,0.25
221,0.25
222,0.25
223,0.25
224,0.25
225,0.25
226,0.25
227,0.25
228,0.25
229,0.25
230,0.25
231,0.25
232,0.25
233,0.25
234,0.25
235,0.25
236,0.25
237,0.25
238,0.25
239,0.25
240,0.25
241,0.25
242,0.25
243,0.25
244,0.25
245,0.25
246,0.25
247,0.25
248,0.25
249,0.25
250,0.25
251,0.25
252,0.25
253,0.25
254,0.25
255,0.25
256,0.25
257,0.25
258,0.25
259,0.25
260,0.25
261,0.25
262,0.25
263,0.25
264,0.25
265,0.25
266,0.25
267,0.25
268,0.25
269,0.25
270,0.25
271,0.25
272,0.25
273,0.25
274,0.25
275,0.25
276,0.25
277,0.25
278,0.25
279,0.25
280,0.25
281,0.25
282,0.25
283,0.25
284,0.25
285,0.25
286,0.25
287,0.25
288,0.25
289,0.25
290,0.25
291,0.25
292,0.25
293,0.25
294,0.25
295,0.25
296,0.25
297,0.25
298,0.25
299,0.25
300,0.25
301,0.25
302,0.25
303,0.25
304,0.25
305,0.25
306,0.25
307,0.25
308,0.25
309,0.25
310,0.25
311,0.25
312,0.25
313,0.25
314,0.25
315,0.25
316,0.25
317,0.25
318,0.25
319,0.25
320,0.25
321,0.25
322,0.25
323,0.25
324,0.25
325,0.25
326,0.25
327,0.25
328,0.25
329,0.25
330,0.25
331,0.25
332,0.25
333,0.25
334,0.25
335,0.25
336,0.25
337,0.25
338,0.25
339,0.25
340,0.25
341,0.25
342,0.25
343,0.25
344,0.25
345,0.25
346,0.25
347,0.25
348,0.25
349,0.25
350,0.25
351,0.25
352,0.25
353,0.25
354,0.25
355,0.25
356,0.25
357,0.25
358,0.25
359,0.25
360,0.25
361,0.25
362,0.25
363,0.25
364,0.25
365,0.25
366,0.25000003
367,0.25000003
368,0.25000003
369,0.25000003
370,0.25000003
371,0.25000003
372,0.25000003
373,0.25000003
374,0.25000003
375,0.25000003
376,0.25000003
377,0.25000003
378,0.25000003
379,0.25000003
380,0.25000003
381,0.25000003
382,0.25000003
383,0.25000003
384,0.25000003
385,0.25000003
386,0.25000003
387,0.25000003
388,0.25000003
389,0.25000003
390,0.25000003
391,0.25000003
392,0.25000003
393,0.25000003
394,0.25000003
395,0.25000003
396,0.25000003
397,0.25000003
398,0.25000003
399,0.25000003
400,0.25000003
401,0.25000003
402,0.25000003
403,0.25000003
404,0.25000003
405,0.25000003
406,0.25000003
407,0.25000003
408,0.25000003
409,0.25000003
410,0.25000003
411,0.25000003
412,0.25000003
413,0.25000003
414,0.25000003
415,0.25000003
416,0.25000003
417,0.25000003
418,0.25000003
419,0.25000003
420,0.25000003
421,0.25000006
422,0.25000006
423,0.25000006
424,0.25000006
425,0.25000006
426,0.25000006
427,0.25000006
428,0.25000006
429,0.25000015
430,0.2500114
431,0.25167328
432,0.37500006
433,0.49832684
434,0.4999887
435,0.49999997
436,0.50000006
437,0.50000006
438,0.50000006
439,0.50000006
440,0.50000006
441,0.50000006
442,0.50000006
443,0.50000006
444,0.50000006
445,0.50000006
446,0.50000006
447,0.50000006
448,0.50000006
449,0.50000006
450,0.50000006
451,0.50000006
452,0.50000006
453,0.50000006
454,0.50000006
455,0.50000006
456,0.5000001
457,0.5000001
458,0.5000001
459,0.5000001
460,0.5000001
461,0.5000001
462,0.5000001
463,0.5000001
464,0.5000001
465,0.5000001
466,0.5000001
467,0.5000001
468,0.5000001
469,0.5000001
470,0.5000001
471,0.5000001
472,0.5000001
473,0.5000001
474,0.5000001
475,0.5000001
476,0.5000001
477,0.5000001
478,0.5000001
479,0.5000001
480,0.5000001
481,0.5000002
482,0.5000002
483,0.5000002
484,0.5000002
485,0.5000002
486,0.5000002
487,0.5000002
488,0.5000002
489,0.5000002
490,0.5000002
491,0.5000002
492,0.5000002
493,0.5000002
494,0.5000002
495,0.5000002
496,0.5000002
497,0.5000002
498,0.50000024
499,0.50000024
500,0.50000024
501,0.50000024
502,0.50000024
503,0.50000024
504,0.50000024
505,0.50000024
506,0.50000024
507,0.50000024
508,0.50000024
509,0.50000024
510,0.50000024
511,0.5000003
512,0.5000003
513,0.5000003
514,0.5000003
515,0.5000003
516,0.5000003
517,0.5000003
518,0.5000003
519,0.5000003
520,0.5000003
521,0.50000036
522,0.50000036
523,0.50000036
524,0.50000036
525,0.50000036
526,0.50000036
527,0.50000036
528,0.50000036
529,0.5000004
530,0.5000004
531,0.5000004
532,0.5000004
533,0.5000004
534,0.5000004
535,0.5000004
536,0.5000005
537,0.5000005
538,0.5000005
539,0.5000005
540,0.5000005
541,0.5000005
542,0.50000054
543,0.50000054
544,0.50000054
545,0.50000054
546,0.50000054
547,0.50000054
548,0.5000006
549,0.5000006
550,0.5000006
551,0.5000006
552,0.5000006
553,0.50000066
554,0.50000066
555,0.50000066
556,0.50000066
557,0.5000007
558,0.5000007
559,0.5000007
560,0.5000007
561,0.5000007
562,0.5000008
563,0.5000008
564,0.5000008
565,0.5000008
566,0.50000083
567,0.50000083
568,0.50000083
569,0.5000009
570,0.5000009
571,0.5000009
572,0.50000095
573,0.50000095
574,0.50000095
575,0.50000095
576,0.500001
577,0.500001
578,0.5000011
579,0.5000011
580,0.5000011
581,0.50000113
582,0.50000113
583,0.50000113
584,0.5000012
585,0.5000012
586,0.50000125
587,0.50000125
588,0.50000125
589,0.5000013
590,0.5000013
591,0.5000014
592,0.5000014
593,0.50000143
594,0.50000143
595,0.5000015
596,0.5000015
597,0.50000155
598,0.50000155
599,0.5000016
600,0.5000016
601,0.50000167
602,0.50000167
603,0.5000017
604,0.5000017
605,0.5000018
606,0.50000185
607,0.50000185
608,0.5000019
609,0.50000197
610,0.50000197
611,0.500002
612,0.5000021
613,0.5000021
614,0.50000215
615,0.5000022
616,0.5000022
617,0.50000226
618,0.5000023
619,0.5000024
620,0.50000244
621,0.50000244
622,0.5000025
623,0.50000256
624,0.5000026
625,0.5000027
626,0.50000274
627,0.5000028
628,0.50000286
629,0.5000029
630,0.500003
631,0.50000304
632,0.5000031
633,0.50000316
634,0.5000032
635,0.5000033
636,0.50000334
637,0.5000034
638,0.50000346
639,0.5000035
640,0.5000036
641,0.5000037
642,0.50000376
643,0.5000038
644,0.50000393
645,0.500004
646,0.50000405
647,0.5000042
648,0.50000423
649,0.5000043
650,0.5000044
651,0.5000045
652,0.5000046
653,0.50000465
654,0.50000477
655,0.5000049
656,0.50000495
657,0.50000507
658,0.5000052
659,0.50000525
660,0.50000536
661,0.5000055
662,0.5000056
663,0.5000057
664,0.50000584
665,0.50000596
666,0.5000061
667,0.5000062
668,0.5000063
669,0.50000644
670,0.50000656
671,0.5000067
672,0.50000685
673,0.500007
674,0.5000071
675,0.5000073
676,0.5000074
677,0.50000757
678,0.5000077
679,0.50000787
680,0.50000805
681,0.50000817
682,0.50000834
683,0.5000085
684,0.5000087
685,0.5000089
686,0.50000906
687,0.50000924
688,0.5000094
689,0.5000096
690,0.5000098
691,0.50001
692,0.5000102
693,0.50001043
694,0.5000106
695,0.50001085
696,0.500011
697,0.50001127
698,0.5000115
699,0.50001174
700,0.500012
701,0.5000122
702,0.50001246
703,0.5000127
704,0.500013
705,0.50001323
706,0.5000135
707,0.50001377
708,0.50001407
709,0.5000143
710,0.5000146
711,0.5000149
712,0.5000152
713,0.5000155
714,0.50001585
715,0.50001615
716,0.5000165
717,0.5000168
718,0.50001717
719,0.5000175
720,0.5000179
721,0.50001824
722,0.5000186
723,0.50001895
724,0.5000194
725,0.5000197
726,0.50002015
727,0.50002056
728,0.500021
729,0.5000214
730,0.5000218
731,0.50002223
732,0.5000227
733,0.5000232
734,0.5000236
735,0.5000241
736,0.5000246
737,0.5000251
738,0.5000256
739,0.5000261
740,0.50002664
741,0.5000272
742,0.5000277
743,0.5000283
744,0.50002885
745,0.50002944
746,0.50003004
747,0.50003064
748,0.50003123
749,0.5000319
750,0.50003254
751,0.5000332
752,0.50003386
753,0.5000346
754,0.5000352
755,0.50003594
756,0.50003666
757,0.50003743
758,0.5000382
759,0.500039
760,0.50003976
761,0.50004053
762,0.50004137
763,0.5000422
764,0.50004303
765,0.5000439
766,0.5000448
767,0.5000457
768,0.5000466
769,0.50004756
770,0.5000485
771,0.50004953
772,0.50005054
773,0.50005156
774,0.5000526
775,0.50005364
776,0.5000547
777,0.50005585
778,0.500057
779,0.5000581
780,0.5000593
781,0.5000605
782,0.5000617
783,0.50006294
784,0.5000642
785,0.5000655
786,0.5000668
787,0.5000682
788,0.50006956
789,0.500071
790,0.5000724
791,0.50007385
792,0.50007534
793,0.5000769
794,0.50007844
795,0.50008005
796,0.50008166
797,0.50008327
798,0.500085
799,0.50008667
800,0.50008845
801,0.50009024
802,0.500092
803,0.50009394
804,0.5000958
805,0.50009775
806,0.5000997
807,0.50010175
808,0.5001038
809,0.50010586
810,0.500108
811,0.5001102
812,0.5001124
813,0.5001147
814,0.500117
815,0.5001194
816,0.5001218
817,0.5001243
818,0.5001268
819,0.50012934
820,0.50013196
821,0.5001346
822,0.5001373
823,0.50014013
824,0.50014293
825,0.5001458
826,0.5001488
827,0.50015175
828,0.50015485
829,0.50015795
830,0.5001612
831,0.5001644
832,0.5001677
833,0.5001711
834,0.5001746
835,0.5001781
836,0.5001817
837,0.5001854
838,0.5001891
839,0.50019294
840,0.5001968
841,0.5002008
842,0.50020486
843,0.50020903
844,0.5002132
845,0.50021756
846,0.5002219
847,0.50022644
848,0.50023097
849,0.5002357
850,0.5002404
851,0.5002453
852,0.5002502
853,0.5002553
854,0.5002604
855,0.5002657
856,0.5002711
857,0.50027657
858,0.5002821
859,0.50028783
860,0.5002937
861,0.5002996
862,0.50030565
863,0.5003118
864,0.5003181
865,0.50032455
866,0.5003311
867,0.5003378
868,0.5003446
869,0.50035155
870,0.50035864
871,0.5003659
872,0.5003733
873,0.5003808
874,0.5003885
875,0.5003964
876,0.50040436
877,0.5004125
878,0.50042087
879,0.5004294
880,0.50043803
881,0.5004469
882,0.5004559
883,0.50046515
884,0.5004746
885,0.5004841
